VIN;Modelo;Distancia_SUMO_km;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Num_Pontos;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,0366;1,7993;False;1326;40;40,7756;-73,9605;40,7731;-73,9603;40,7843;-73,9493;40,7816;-73,9488;145,4136;0,0084;0,0115;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,4782;2,2409;False;3484;40;40,7756;-73,9605;40,7731;-73,9603;40,7791;-73,9689;40,7732;-73,9665;181,1060;0,0019;-0,0098;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,2012;0,9639;False;2586;40;40,7756;-73,9605;40,7731;-73,9603;40,7674;-73,9439;40,7660;-73,9461;77,8996;-0,0078;0,0158;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,2325;0,9951;False;2371;40;40,7756;-73,9605;40,7731;-73,9603;40,7792;-73,9449;40,7772;-73,9460;80,4247;0,0036;0,0147;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,4252;2,1879;False;1058;40;40,7756;-73,9605;40,7731;-73,9603;40,7817;-73,9631;40,7777;-73,9648;176,8213;0,0050;-0,0041;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,6987;2,4614;False;1626;40;40,7756;-73,9605;40,7731;-73,9603;40,7684;-73,9614;40,7659;-73,9605;198,9267;-0,0071;-0,0005;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;4,3170;3,0797;False;1905;40;40,7756;-73,9605;40,7731;-73,9603;40,7860;-73,9512;40,7833;-73,9509;248,8981;0,0103;0,0088;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,5076;1,2702;False;1141;40;40,7756;-73,9605;40,7731;-73,9603;40,7777;-73,9632;40,7751;-73,9631;102,6588;0,0021;-0,0027;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,4278;2,1905;False;3562;40;40,7756;-73,9605;40,7731;-73,9603;40,7705;-73,9756;40,7660;-73,9771;177,0322;-0,0061;-0,0160;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,3189;1,0815;False;509;40;40,7756;-73,9605;40,7731;-73,9603;40,7596;-73,9579;40,7564;-73,9560;87,4086;-0,0162;0,0030;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,5987;1,3614;False;895;40;40,7756;-73,9605;40,7731;-73,9603;40,7756;-73,9627;40,7730;-73,9625;110,0277;-0,0001;-0,0022;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;;;;True;4265;40;40,7756;-73,9605;40,7731;-73,9603;;;;;;-0,0045;-0,0141;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;4,2967;3,0594;False;2509;40;40,7756;-73,9605;40,7731;-73,9603;40,7822;-73,9600;40,7798;-73,9603;247,2532;0,0066;-0,0001;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,3321;1,0948;False;3003;40;40,7756;-73,9605;40,7731;-73,9603;40,7711;-73,9680;40,7688;-73,9707;88,4810;-0,0036;-0,0103;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,9935;0,7561;False;3660;40;40,7756;-73,9605;40,7731;-73,9603;40,7916;-73,9624;40,7905;-73,9604;61,1104;0,0150;-0,0023;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,6739;1,4366;False;1354;40;40,7756;-73,9605;40,7731;-73,9603;40,7634;-73,9535;40,7605;-73,9515;116,1039;-0,0126;0,0089;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;4,5257;3,2883;False;1403;40;40,7756;-73,9605;40,7731;-73,9603;40,7833;-73,9641;40,7821;-73,9634;265,7585;0,0094;-0,0019;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,8017;1,5643;False;1142;40;40,7756;-73,9605;40,7731;-73,9603;40,7774;-73,9548;40,7746;-73,9541;126,4266;0,0014;0,0061;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,0645;1,8272;False;1442;40;40,7756;-73,9605;40,7731;-73,9603;40,7775;-73,9589;40,7749;-73,9588;147,6731;0,0019;0,0016;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,5869;0,3495;False;848;40;40,7756;-73,9605;40,7731;-73,9603;40,7776;-73,9431;40,7751;-73,9428;28,2485;0,0022;0,0169;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,1324;0,8951;False;2289;40;40,7756;-73,9605;40,7731;-73,9603;40,7704;-73,9475;40,7687;-73,9489;72,3412;-0,0051;0,0129;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,9241;1,6867;False;1437;40;40,7756;-73,9605;40,7731;-73,9603;40,7762;-73,9580;40,7737;-73,9579;136,3194;0,0006;0,0024;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;;;;True;4281;40;40,7756;-73,9605;40,7731;-73,9603;;;;;;-0,0037;-0,0133;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,4188;1,1815;False;3392;40;40,7756;-73,9605;40,7731;-73,9603;40,7750;-73,9652;40,7731;-73,9666;95,4864;0,0002;-0,0075;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,0603;1,8229;False;2199;40;40,7756;-73,9605;40,7731;-73,9603;40,7890;-73,9702;40,7860;-73,9690;147,3278;0,0130;-0,0090;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,3481;1,1108;False;959;40;40,7756;-73,9605;40,7731;-73,9603;40,7595;-73,9597;40,7569;-73,9600;89,7721;-0,0164;0,0006;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,9862;0,7489;False;580;40;40,7756;-73,9605;40,7731;-73,9603;40,7655;-73,9700;40,7629;-73,9697;60,5217;-0,0100;-0,0093;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,2495;1,0121;False;3709;40;40,7756;-73,9605;40,7731;-73,9603;40,7916;-73,9625;40,7906;-73,9606;81,7997;0,0156;-0,0022;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,4269;1,1896;False;1212;40;40,7756;-73,9605;40,7731;-73,9603;40,7735;-73,9577;40,7707;-73,9570;96,1429;-0,0025;0,0034;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,9568;1,7195;False;1657;40;40,7756;-73,9605;40,7731;-73,9603;40,7811;-73,9615;40,7783;-73,9608;138,9663;0,0052;-0,0011;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,9438;2,7065;False;2985;40;40,7756;-73,9605;40,7731;-73,9603;40,7802;-73,9532;40,7781;-73,9543;218,7349;0,0049;0,0068;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,4906;2,2532;False;2094;40;40,7756;-73,9605;40,7731;-73,9603;40,7625;-73,9544;40,7595;-73,9532;182,1047;-0,0132;0,0065;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,0275;1,7902;False;2818;40;40,7756;-73,9605;40,7731;-73,9603;40,7858;-73,9705;40,7828;-73,9712;144,6802;0,0098;-0,0105;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,6465;1,4091;False;3691;40;40,7756;-73,9605;40,7731;-73,9603;40,7868;-73,9719;40,7851;-73,9730;113,8849;0,0114;-0,0119;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,7144;2,4771;False;2026;40;40,7756;-73,9605;40,7731;-73,9603;40,7634;-73,9592;40,7609;-73,9591;200,1931;-0,0121;0,0017;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,4384;1,2010;False;859;40;40,7756;-73,9605;40,7731;-73,9603;40,7782;-73,9455;40,7758;-73,9448;97,0659;0,0024;0,0154;2,0000
