Run_ID;CSV_Origem;Trajectory_ID;VIN;Modelo;Distancia_SUMO_km;Num_Pontos_Trajeto_Original;Num_Pontos_Trajeto_com_Offset;Diferenca_Num_Pontos;Diferenca_Num_Pontos_Percentual;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Pontos_Descartados_MapMatching;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
91;vehicles_step_sim_10.csv;vehicles_step_sim_10__run091__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1482;0,0003;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7654;-73,9617;40,7610;-73,9649;0,0081;-0,0103;-0,0011;2,0000
92;vehicles_step_sim_10.csv;vehicles_step_sim_10__run092__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1482;0,0002;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7690;-73,9602;40,7646;-73,9633;0,0053;-0,0067;0,0005;2,0000
93;vehicles_step_sim_10.csv;vehicles_step_sim_10__run093__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1477;-0,0003;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7873;-73,9478;40,7829;-73,9509;-0,0092;0,0117;0,0129;2,0000
94;vehicles_step_sim_10.csv;vehicles_step_sim_10__run094__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1478;-0,0002;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7820;-73,9591;40,7776;-73,9623;-0,0050;0,0063;0,0016;2,0000
95;vehicles_step_sim_10.csv;vehicles_step_sim_10__run095__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1477;-0,0003;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7860;-73,9620;40,7816;-73,9651;-0,0082;0,0104;-0,0013;2,0000
96;vehicles_step_sim_10.csv;vehicles_step_sim_10__run096__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1478;-0,0001;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7816;-73,9697;40,7772;-73,9729;-0,0047;0,0059;-0,0091;2,0000
97;vehicles_step_sim_10.csv;vehicles_step_sim_10__run097__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1481;0,0001;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7708;-73,9579;40,7664;-73,9610;0,0038;-0,0048;0,0028;2,0000
98;vehicles_step_sim_10.csv;vehicles_step_sim_10__run098__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1476;-0,0004;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7900;-73,9667;40,7856;-73,9699;-0,0114;0,0144;-0,0061;2,0000
99;vehicles_step_sim_10.csv;vehicles_step_sim_10__run099__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1482;0,0002;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7662;-73,9534;40,7618;-73,9565;0,0075;-0,0094;0,0073;2,0000
100;vehicles_step_sim_10.csv;vehicles_step_sim_10__run100__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1479;-0,0001;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7780;-73,9682;40,7736;-73,9714;-0,0018;0,0023;-0,0075;2,0000
1;vehicles_step_sim_7.csv;vehicles_step_sim_7__run001__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1848;0,0003;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7645;-73,9520;40,7605;-73,9549;0,0089;-0,0111;0,0087;2,0000
2;vehicles_step_sim_7.csv;vehicles_step_sim_7__run002__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1845;-0,0000;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7758;-73,9684;40,7718;-73,9712;-0,0001;0,0001;-0,0077;2,0000
3;vehicles_step_sim_7.csv;vehicles_step_sim_7__run003__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1841;-0,0004;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7919;-73,9683;40,7879;-73,9711;-0,0130;0,0163;-0,0076;2,0000
4;vehicles_step_sim_7.csv;vehicles_step_sim_7__run004__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1844;-0,0002;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7818;-73,9687;40,7778;-73,9716;-0,0049;0,0062;-0,0080;2,0000
5;vehicles_step_sim_7.csv;vehicles_step_sim_7__run005__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1849;0,0003;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7624;-73,9543;40,7584;-73,9572;0,0106;-0,0132;0,0064;2,0000
6;vehicles_step_sim_7.csv;vehicles_step_sim_7__run006__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1847;0,0001;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7698;-73,9452;40,7658;-73,9480;0,0047;-0,0059;0,0155;2,0000
