# StartTime = 01/19/2024 01:25:31.1282 PM
# FuelCalculationMethod = MassAirFlow
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (km/h), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Engine RPM (RPM), Mass air flow rate (g/s), Absolute throttle position (%), Fuel level input (%), GPS Speed (km/h), Fuel rate (l/hr), Alcohol fuel percentage (%), Engine fuel rate (l/hr), Vehicle Fuel Rate (g/s), Fuel Remaining (l), Fuel Level Input A (%), Fuel Level Input B (%), Instant fuel economy (l/100 km), Calculated load value (%), Fuel rail pressure (kPa), Fuel rail pressure relative to manifold vacuum (kPa), Accelerator pedal position D (%), Accelerator pedal position E (%)
15.269,-23.03055,-44.54618,38,0.009220657,0.3120369,1.256721,1579.75,5,21.96078,94.5098,37.82711,1.663964,32.15686,0,0,13.23137,0,0,4.378849,22.7451,0,0,20.78431,10.58823
16.258,-23.03051,-44.54609,36,2.010908,-0.6185575,0.2139348,1488.5,5.19,21.96078,80,35.85438,1.727195,32.15686,0,0,11.2,0,0,4.797759,24.70588,0,0,20.78431,10.58823
16.269,-23.03051,-44.54609,36,2.504005,-0.9629208,0.3374329,1488.5,5.19,21.96078,80,35.85438,1.727195,32.15686,0,0,11.2,0,0,4.797759,24.70588,0,0,20.78431,10.58823
16.277,-23.03051,-44.54609,36,2.504005,-0.9629208,0.3374329,1488.5,5.19,21.96078,80,35.85438,1.727195,32.15686,0,0,11.2,0,0,4.797759,24.70588,0,0,20.78431,10.58823
16.278,-23.03051,-44.54609,36,2.504005,-0.9629208,0.3374329,1488.5,5.19,21.96078,80,35.85438,1.727195,32.15686,0,0,11.2,0,0,4.797759,24.70588,0,0,20.78431,10.58823
17.265,-23.03047,-44.546,33,-0.4501578,0.1649388,-0.2885603,1388.5,4.95,22.7451,80,33.57791,1.647324,32.15686,0,0,11.2,0,0,4.991888,27.05882,0,0,20.78431,10.58823
17.271,-23.03047,-44.546,33,-0.4501578,0.1649388,-0.2885603,1388.5,4.95,22.7451,80,33.57791,1.647324,32.15686,0,0,11.2,0,0,4.991888,27.05882,0,0,20.78431,10.58823
17.273,-23.03047,-44.546,33,-0.4501578,0.1649388,-0.2885603,1388.5,4.95,22.7451,80,33.57791,1.647324,32.15686,0,0,11.2,0,0,4.991888,27.05882,0,0,20.78431,10.58823
17.277,-23.03047,-44.546,33,-0.4501578,0.1649388,-0.2885603,1388.5,4.95,22.7451,80,33.57791,1.647324,32.15686,0,0,11.2,0,0,4.991888,27.05882,0,0,20.78431,10.58823
18.269,-23.03043,-44.54592,32,0.07628238,0.1174809,0.2085162,1354.5,5.23,22.35294,80,31.03061,1.740506,32.15686,0,0,11.2,0,0,5.439078,27.45098,0,0,20.78431,10.58823
18.275,-23.03043,-44.54592,32,0.07628238,0.1174809,0.2085162,1354.5,5.23,22.35294,80,31.03061,1.740506,32.15686,0,0,11.2,0,0,5.439078,27.45098,0,0,20.78431,10.58823
18.276,-23.03043,-44.54592,32,0.07628238,0.1174809,0.2085162,1354.5,5.23,22.35294,80,31.03061,1.740506,32.15686,0,0,11.2,0,0,5.439078,27.45098,0,0,20.78431,10.58823
18.283,-23.03043,-44.54592,32,0.07628238,0.1174809,0.2085162,1354.5,5.23,22.35294,80,31.03061,1.740506,32.15686,0,0,11.2,0,0,5.439078,27.45098,0,0,20.78431,10.58823
19.271,-23.0304,-44.54585,30,-1.348323,-0.6014188,0.7905506,1265.25,5.01,21.96078,80,28.73462,1.667292,32.15686,0,0,11.2,0,0,5.557635,27.84314,0,0,20.78431,10.58823
19.280,-23.0304,-44.54585,30,0.4954706,-0.2483704,1.085374,1265.25,5.01,21.96078,80,28.73462,1.667292,32.15686,0,0,11.2,0,0,5.557635,27.84314,0,0,20.78431,10.58823
19.281,-23.0304,-44.54585,30,0.4954706,-0.2483704,1.085374,1265.25,5.01,21.96078,80,28.73462,1.667292,32.15686,0,0,11.2,0,0,5.557635,27.84314,0,0,20.78431,10.58823
19.293,-23.0304,-44.54585,30,0.4954706,-0.2483704,1.085374,1265.25,5.01,21.96078,80,28.73462,1.667292,32.15686,0,0,11.2,0,0,5.557635,27.84314,0,0,20.78431,10.58823
20.261,-23.03037,-44.54578,27,-0.3081048,0.6292898,0.665687,1111,4.27,21.96078,80,25.39428,1.421025,32.15686,0,0,11.2,0,0,5.263052,32.94118,0,0,20.78431,10.58823
20.267,-23.03037,-44.54578,27,-0.3081048,0.6292898,0.665687,1111,4.27,21.96078,80,25.39428,1.421025,32.15686,0,0,11.2,0,0,5.263052,32.94118,0,0,20.78431,10.58823
20.268,-23.03037,-44.54578,27,-0.3081048,0.6292898,0.665687,1111,4.27,21.96078,80,25.39428,1.421025,32.15686,0,0,11.2,0,0,5.263052,32.94118,0,0,20.78431,10.58823
20.271,-23.03037,-44.54578,27,-0.3081048,0.6292898,0.665687,1111,4.27,21.96078,80,25.39428,1.421025,32.15686,0,0,11.2,0,0,5.263052,32.94118,0,0,20.78431,10.58823
21.265,-23.03034,-44.54572,22,-0.4996895,0.04399898,0.8078517,1152.5,5.49,22.7451,70.58823,18.42106,1.827032,32.15686,0,0,9.882353,0,0,8.304687,31.76471,0,0,20.78431,10.58823
21.274,-23.03034,-44.54572,22,-1.234385,0.9220273,0.574127,1152.5,5.49,22.7451,70.58823,18.42106,1.827032,32.15686,0,0,9.882353,0,0,8.304687,31.76471,0,0,20.78431,10.58823
21.279,-23.03034,-44.54572,22,-1.234385,0.9220273,0.574127,1152.5,5.49,22.7451,70.58823,18.42106,1.827032,32.15686,0,0,9.882353,0,0,8.304687,31.76471,0,0,20.78431,10.58823
21.285,-23.03034,-44.54572,22,-0.3083591,0.2140486,0.6227533,1152.5,5.49,22.7451,70.58823,18.42106,1.827032,32.15686,0,0,9.882353,0,0,8.304687,31.76471,0,0,20.78431,10.58823
22.269,-23.03032,-44.54568,14,0.2318698,0.06923121,-0.558293,1144,5.07,23.52941,70.58823,9.404985,1.687259,32.15686,0,0,9.882353,0,0,12.05184,32.15686,0,0,20.78431,10.58823
22.271,-23.03032,-44.54568,14,0.2318698,0.06923121,-0.558293,1144,5.07,23.52941,70.58823,9.404985,1.687259,32.15686,0,0,9.882353,0,0,12.05184,32.15686,0,0,20.78431,10.58823
22.273,-23.03032,-44.54568,14,0.2318698,0.06923121,-0.558293,1144,5.07,23.52941,70.58823,9.404985,1.687259,32.15686,0,0,9.882353,0,0,12.05184,32.15686,0,0,20.78431,10.58823
22.278,-23.03032,-44.54568,14,0.2318698,0.06923121,-0.558293,1144,5.07,23.52941,70.58823,9.404985,1.687259,32.15686,0,0,9.882353,0,0,12.05184,32.15686,0,0,20.78431,10.58823
