VIN;Modelo;Distancia_SUMO_km;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Pontos_Descartados_MapMatching;Num_Pontos;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,0362;-0,2011;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7641;-73,9589;40,7612;-73,9598;-16,2554;-0,0115;0,0009;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2840;0,0467;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7750;-73,9631;40,7723;-73,9628;3,7742;-0,0010;-0,0024;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3120;0,0746;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7669;-73,9617;40,7643;-73,9616;6,0322;-0,0088;-0,0015;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2993;0,0620;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7659;-73,9768;40,7649;-73,9766;5,0073;-0,0081;-0,0152;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,1785;-0,0588;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7871;-73,9499;40,7843;-73,9493;-4,7543;0,0115;0,0113;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,1596;-0,0777;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7766;-73,9486;40,7739;-73,9486;-6,2813;0,0006;0,0116;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,1112;-0,1261;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7750;-73,9569;40,7721;-73,9561;-10,1942;-0,0006;0,0032;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,9514;-0,2860;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7678;-73,9497;40,7650;-73,9476;-23,1125;-0,0083;0,0114;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2582;0,0208;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7896;-73,9576;40,7865;-73,9568;1,6828;0,0137;0,0023;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,7879;-0,4495;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7903;-73,9657;40,7884;-73,9671;-36,3264;0,0144;-0,0044;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,6012;0,3639;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7804;-73,9498;40,7775;-73,9487;29,4081;0,0044;0,0118;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3736;0,1362;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7693;-73,9737;40,7662;-73,9716;11,0097;-0,0060;-0,0129;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,1601;-0,0772;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7619;-73,9634;40,7593;-73,9631;-6,2406;-0,0134;-0,0029;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,6579;0,4205;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7665;-73,9507;40,7634;-73,9486;33,9881;-0,0098;0,0118;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,9495;-0,2878;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7818;-73,9714;40,7795;-73,9702;-23,2594;0,0065;-0,0097;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,6585;0,4212;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7665;-73,9507;40,7630;-73,9491;34,0417;-0,0092;0,0098;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,9558;-0,2815;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7910;-73,9653;40,7891;-73,9666;-22,7513;0,0155;-0,0049;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,0529;0,8155;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7907;-73,9654;40,7887;-73,9669;65,9099;0,0147;-0,0041;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,0142;-0,2232;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7825;-73,9490;40,7804;-73,9498;-18,0351;0,0070;0,0111;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2512;0,0139;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7847;-73,9581;40,7822;-73,9580;1,1211;0,0092;0,0020;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,3872;-0,8501;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7901;-73,9590;40,7896;-73,9576;-68,7072;0,0168;0,0024;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,3355;2,0982;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7838;-73,9655;40,7783;-73,9667;169,5703;0,0062;-0,0062;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,8114;-0,4259;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7574;-73,9606;40,7557;-73,9611;-34,4246;-0,0179;0,0001;2,0000
