VIN;Modelo;Distancia_SUMO_km;Num_Pontos_Trajeto_Original;Num_Pontos_Trajeto_com_Offset;Diferenca_Num_Pontos;Diferenca_Num_Pontos_Percentual;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Pontos_Descartados_MapMatching;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;4,2122;0,7591;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7821;-73,9634;40,7783;-73,9667;21,9827;0,0058;-0,0045;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,7123;-0,7408;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7776;-73,9751;40,7750;-73,9770;-21,4533;0,0025;-0,0151;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;9,1655;5,7124;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7769;-73,9755;40,7705;-73,9756;165,4272;-0,0006;-0,0109;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;1,8021;-1,6510;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7846;-73,9673;40,7842;-73,9668;-47,8113;0,0096;-0,0058;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;4,1547;0,7016;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7671;-73,9543;40,7645;-73,9561;20,3180;-0,0087;0,0056;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,8151;0,3620;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7794;-73,9775;40,7770;-73,9791;10,4829;0,0043;-0,0172;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,4329;-0,0202;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7731;-73,9545;40,7704;-73,9542;-0,5841;-0,0022;0,0069;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,4247;-0,0284;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7885;-73,9709;40,7859;-73,9728;-0,8231;0,0128;-0,0108;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,5858;-0,8673;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7750;-73,9770;40,7725;-73,9789;-25,1152;-0,0003;-0,0167;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,8345;-0,6186;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7711;-73,9477;40,7685;-73,9493;-17,9153;-0,0045;0,0128;2,0000
