linha,worker_id,wallet,tx_hash,block,gas_used,meta_co2,diff,e1_value,latency_ms,tx_latency_ms,error
10,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x21312e4571d7ccf1583e37671ae211e79a6cf05cc1b475915a528c1f489048f5,22797,32097,32318,16159,0.000888,29636.35,29158.66,
10,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x46336aed2aeef9ab57a559833fbea191492998198b73563e4b442c6f5186b59c,22797,32097,32318,16159,0.000888,29652.87,29164.07,
10,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xd7c803b3dcb22777598f843bf542be1c88f25bf7bfc097990bbc66650722b935,22797,32097,32318,16159,0.000888,29647.91,29162.27,
10,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x0d22d7bf3b7d41d8e42d38d96272a3de87e0d516cc097becd7b444b1b253af17,22797,32097,32318,16159,0.000888,30652.39,30163.23,
11,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xc67790bbf5d7773b8c651ad9cf6024d6eb394aa994b583fdd5a4caa25736bf5a,22798,32097,32318,16159,0.000888,29635.58,29156.82,
11,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x656fd33adab65c3cc81a3ac6769bb879703494213944bac26ca31c4cddffaf00,22798,32097,32318,16159,0.000888,29651.59,29162.62,
11,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x52bb6801fec18ddd29835eb75dbba0165a15065d685706593d82e42b8747877c,22798,32097,32318,16159,0.000888,29654.51,29161.26,
11,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x4210244aa2731b3d3551b5d7b2b7739bf3850022655d279f6cbac0fb0f1724dc,22798,32097,32318,16159,0.000888,29660.16,29167.00,
12,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xf2b2481e6d5ebc867febaf7c8aab9d50885e98408af8fca2fea61f3168f4fcc8,22799,32097,32318,16159,0.000888,30631.13,30158.40,
12,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x7cb8d43c2237c1c5427f95bffb690802d23d98bdb252b1beb99dbeef2f0af473,22799,32097,32318,16159,0.000888,30641.89,30162.05,
12,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xa59de3284c4a7abe4b1cc11e9e4d71b8968145180423e9de77706a4f0d3ca5ac,22799,32097,32318,16159,0.000888,30643.73,30162.11,
12,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x8661bf3b7a922942d5965e3323a9d084292835c4a07ed4a721a946b7ee0aa3a2,22799,32097,32318,16159,0.000888,30650.26,30164.17,
13,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xe8e6178faef7d3b3e43bd4af4fa3e973cae4cc744abfdd03b722b7f89aade25b,22800,32097,32318,16159,0.000888,29634.65,29158.14,
