vin,timestamp,total_distance_original_km,total_distance_snapped_km,distance_diff_km,route_distance_source,original_highway_km,original_city_km,highway_distance_snapped_km,city_distance_snapped_km,highway_diff_km,city_diff_km,start_lat,start_lon,end_lat,end_lon,start_noisy_lat,start_noisy_lon,end_noisy_lat,end_noisy_lon,start_snap_lat,start_snap_lon,end_snap_lat,end_snap_lon,gps_distance_snapped_km
9BD376AT1SYB85622,2025-03-19 08:12:18.210976,22.391916980680094,17.596100836423044,4.795816144257049,haversine_fallback,13.813532118868622,8.578384861811472,10.855002020617457,6.741098815805588,2.958530098251165,1.8372860460058842,-5.8431156,-35.1976147,-5.8598694,-35.3560166,-5.843135008999172,-35.19758597713201,-5.859861467805337,-35.356018481290334,-5.843890647558858,-35.19766979113602,-5.859970038098772,-35.35592098599157,17.596100836423044
9BD376AT1SYB85622,2025-04-01 09:56:48.477558,5.964185300187918,0.019092391319409426,5.945092908868508,haversine_fallback,2.9712879665791254,2.9928973336087923,0.009511607994270999,0.009580783325138427,2.961776358584854,2.983316550283654,-5.8430153,-35.1974896,-5.8432094,-35.1976294,-5.843024320059909,-35.197478485694205,-5.843241852032047,-35.19767626035598,-5.843901080168833,-35.19757573427204,-5.843882053713973,-35.19774727031921,0.019092391319409426
93HGE6750CZ109392,2025-04-02 17:23:27.118909,5.98735624125406,0.012462727051225057,5.974893514202836,haversine_fallback,1.7587381040720738,4.228618137181986,0.0036608265923138736,0.008801900458911183,1.7550772774797598,4.219816236723075,-5.8430525,-35.1976495,-5.8431088,-35.1975424,-5.843047357848477,-35.19763333915389,-5.843130469317588,-35.197529208483566,-5.843884392846326,-35.19772618149732,-5.84389681253275,-35.197614209827776,0.012462727051225057
9BHCP51BBRP516167,2025-04-01 14:23:43.457297,5.883714093959444,0.08394118489960048,5.799772909059843,haversine_fallback,0.4438591334039581,5.439854960555486,0.0063324051766365285,0.07760877972296396,0.4375267282273216,5.362246180832522,-5.8430008,-35.1974191,-5.8436746,-35.1981723,-5.843035371602439,-35.19735497463179,-5.843634540948357,-35.198184380922484,-5.843914747600122,-35.19745251335908,-5.843830002425627,-35.19820656150545,0.08394118489960048
9BHCP51BBRP516167,2025-04-01 14:34:25.547982,5.825597258981425,0.02896102660612687,5.796636232375298,haversine_fallback,0.1941865752993805,5.631410683682044,0.0009653675535375607,0.027995659052589307,0.19322120774584292,5.603415024629455,-5.8437044,-35.1976347,-5.8436835,-35.1978883,-5.843742887827671,-35.19763679274787,-5.843681676806387,-35.19789294010076,-5.843892467425767,-35.197653383834805,-5.84386325335519,-35.197913545049424,0.02896102660612687
9BHCP51BBRP516167,2025-04-01 14:56:41.981051,5.900532906017091,0.007584112303603835,5.892948793713487,haversine_fallback,0.3772987293367948,5.523234176680296,0.00048495211888052996,0.007099160184723305,0.37681377721791426,5.516135016495572,-5.8430242,-35.1974693,-5.8435849,-35.1976612,-5.843026405050591,-35.19754066884155,-5.843629136174297,-35.19767650058993,-5.843894292095182,-35.19763693323583,-5.843886734174976,-35.19770507287437,0.007584112303603835
9BHCP51BBRP516167,2025-04-01 15:07:22.760961,5.931204874520339,0.015806174306021114,5.915398700214318,haversine_fallback,0.1608462338852977,5.770358640635042,0.0004286420150785396,0.015377532290942575,0.16041759187021917,5.754981108344099,-5.8431265,-35.1977202,-5.8431354,-35.1975579,-5.843116787320293,-35.19767899843254,-5.843085691926653,-35.197531791302985,-5.843880233752712,-35.19776367847108,-5.843895985339565,-35.19762166752025,0.015806174306021114
9BWAH5BZ4KP599863,2025-01-31 14:38:09.713500,5.96597876412231,0.00011324494845701043,5.965865519173853,haversine_fallback,0.3064097854685176,5.659568978653793,5.816205811991475e-06,0.00010742874264501896,0.30640396926270563,5.659461549911148,-5.8431967,-35.1976216,-5.8430684,-35.1975784,-5.843179267436663,-35.19759244384414,-5.843054852327105,-35.197577613985324,-5.843890476887036,-35.19767132985513,-5.843890589740888,-35.19767031240318,0.00011324494845701043
9BWAH5BZ4KP599863,2025-01-31 14:50:01.737656,5.972692620125499,0.010075155803838264,5.962617464321661,haversine_fallback,0.12650181041113,5.846190809714368,0.00021339210477115827,0.009861763699067105,0.12628841830635884,5.836329046015301,-5.8430191,-35.1975924,-5.8432541,-35.1975322,-5.843029591491903,-35.19759622810322,-5.8432622893728725,-35.197530404376515,-5.843888243187564,-35.19769146813001,-5.84389828354838,-35.19760094765107,0.010075155803838264
9BWAH5BZ4KP599863,2025-02-12 11:48:48.313895,11.00041584323455,6.422292834396214,4.578123008838335,haversine_fallback,0.8091374175408946,10.191278425693657,0.47239281794157756,5.949900016454636,0.3367445995993171,4.2413784092390205,-5.7469824,-35.2465772,-5.7859106,-35.2037429,-5.74699491122714,-35.24655875302071,-5.785919039412053,-35.20375675908763,-5.746961878329825,-35.2465741786996,-5.785929694674925,-35.203726521802366,6.422292834396214
9BWAH5BZ4KP599863,2025-02-13 12:01:39.215101,1.8295144121460896,1.4556735859370569,0.3738408262090327,haversine_fallback,0.1920990132753394,1.6374153988707505,0.15284572652339096,1.302827859413666,0.039253286751948446,0.3345875394570845,-5.8430126,-35.1977094,-5.8382521,-35.2097103,-5.842987560912729,-35.19770602352276,-5.838250186404192,-35.20970047872914,-5.843875369938625,-35.197806770340144,-5.838266858799808,-35.209697444884746,1.4556735859370569
9BWAH5BZ4KP599863,2025-02-13 12:06:58.838890,2.755286763622109,1.9708063036311303,0.7844804599909787,haversine_fallback,0.1815499030293635,2.5737368605927453,0.12985933008422157,1.8409469735469088,0.05169057294514193,0.7327898870458365,-5.8303483,-35.2090429,-5.8432064,-35.1975858,-5.830295348647165,-35.20909055457084,-5.843213564414644,-35.19757761046076,-5.83030664361522,-35.209094693209266,-5.843892519003956,-35.1976529188234,1.9708063036311303
9BWAH5BZ4KP599863,2025-02-13 12:12:41.582802,1.6243040534668185,1.3057679656119088,0.3185360878549097,haversine_fallback,0.3318470646867695,192456988780049.0,2.2514914594530184e-15,1.3057679656119066,0.3318470646867672,192456988780047.7,-5.843172,-35.1975385,-5.8379924,-35.2078908,-5.8431901152449255,-35.197599126624525,-5.837984597243201,-35.207884126984325,-5.843889876490928,-35.19767674282228,-5.837990312326611,-35.20788327619066,1.3057679656119088
9BWAH5BZ4KP599863,2025-02-13 12:20:37.053873,5.997894555749773,0.005657515487828616,5.992237040261944,haversine_fallback,0.7454030806278622,5.252491475121911,0.0007031016357706086,0.004954413852058008,0.7446999789920916,5.247537061269853,-5.8432092,-35.197543,-5.8431886,-35.1975658,-5.843208029611263,-35.19751249535202,-5.843156815420297,-35.19755827020822,-5.84389958640625,-35.19758920152755,-5.843893948429202,-35.19764003161144,0.005657515487828616
9BWAH5BZ4KP599863,2025-02-13 13:34:01.310694,5.944246277516081,0.011426347071766126,5.932819930444315,haversine_fallback,0.2049740095695202,5.739272267946561,0.0003940119679919357,0.01103233510377419,0.20457999760152826,5.728239932842786,-5.8429861,-35.1976535,-5.843351,-35.1976057,-5.842987169747345,-35.197646677211885,-5.843325207482852,-35.19758024841982,-5.843882199909553,-35.19774595226958,-5.843893586795131,-35.19764329198126,0.011426347071766126
9BWAH5BZ4KP599863,2025-03-17 16:48:40.279547,1.9761648785053,1.2114692149690807,0.7646956635362194,haversine_fallback,0.0598837841971303,1.9162810943081696,0.03671118833239639,1.1747580266366844,0.023172595864733914,0.7415230676714852,-5.7492565,-35.2599453,-5.759593,-35.256926,-5.749258028029525,-35.25998560173651,-5.759665452439106,-35.25692292453668,-5.749181819275423,-35.260075327157146,-5.759633338242899,-35.25698291563932,1.2114692149690807
9BWAH5BZ4KP599863,2025-03-18 09:39:18.674855,1.4561259435760934,1.1457117390402893,0.31041420453580404,haversine_fallback,0.0508373147383176,1.4052886288377755,0.039999911088688514,1.105711827951601,0.010837403649629089,0.29957680088617455,-5.7492484,-35.2599925,-5.7484209,-35.2497185,-5.749225946996938,-35.259989190999214,-5.748429366287917,-35.24971854621301,-5.749164953700121,-35.26006100229277,-5.748392617622276,-35.24973442014255,1.1457117390402893
9BWAH5BZ4KP599863,2025-03-18 09:46:53.430441,24.48450991855015,12.084458410314268,12.400051508235881,haversine_fallback,3.5341750337569127,20.95033488479324,1.7443106418008882,10.34014776851338,1.7898643919560244,10.61018711627986,-5.7470739,-35.2468144,-5.8429198,-35.1971244,-5.747099201877682,-35.24681455255997,-5.84290650216782,-35.19719488654684,-5.747079187133607,-35.24682391127036,-5.843931175038577,-35.19726917532997,12.084458410314268
9BWAH5BZ6KP538191,2025-04-01 10:22:26.826389,5.948990280386528,0.016967197398937654,5.932023082987591,haversine_fallback,1.23984692268094,4.709143357705588,0.0035361845439468536,0.0134310128549908,1.2363107381369933,4.695712344850597,-5.8429946,-35.1973918,-5.8432581,-35.1975616,-5.842976477545669,-35.19739014258913,-5.843233254080357,-35.19757294142243,-5.843910178486186,-35.197493706936626,-5.843893269885488,-35.19764614913084,0.016967197398937654
9BWAH5BZ6KP538191,2025-04-01 10:34:44.510729,5.920417141768298,0.002237101259596047,5.918180040508702,haversine_fallback,1.111540767723297,4.808876374045001,0.0004200091297660562,0.0018170921298299907,1.1111207585935308,4.807059281915171,-5.843196,-35.1975245,-5.8431473,-35.1975554,-5.843165105977513,-35.19757657292101,-5.843149496887708,-35.19759518815814,-5.843892043756971,-35.1976572034886,-5.843889814381647,-35.19767730277844,0.002237101259596047
9BWAH5BZ4KP599863,2025-04-03 09:49:52.383636,5.908198733207752,0.015250239547169551,5.892948493660582,haversine_fallback,0.5532412241342946,5.354957509073457,0.0014280259646642863,0.013822213582505264,0.5518131981696303,5.341135295490951,-5.8431763,-35.1976876,-5.8431998,-35.197577,-5.843151791230824,-35.197679958938316,-5.84318356375416,-35.19754478125895,-5.843880553923311,-35.19776079192182,-5.8438957514953564,-35.197623775780116,0.015250239547169551
9BWBH6BF1P4017999,2025-03-31 13:35:13.112967,5.963398789991068,0.012777904098422506,5.950620885892645,haversine_fallback,0.4889463136742312,5.474452476316837,0.0010476758850829584,0.011730228213339548,0.4878986377891482,5.462722248103497,-5.8432415,-35.1976632,-5.8433032,-35.1975851,-5.843198097930877,-35.19767326379909,-5.843308639026932,-35.19756930901791,-5.843881850289921,-35.197749104321296,-5.843894584064858,-35.19763430093651,0.012777904098422506
9BWBH6BF1P4017999,2025-04-04 10:24:02.787723,5.919840982366419,0.0002530828068478982,5.919587899559571,haversine_fallback,0.281005109922457,5.638835872443963,1.2013424375691384e-05,0.0002410693824722068,0.2809930964980813,5.6385948030614905,-5.8431948,-35.1976631,-5.8433194,-35.1976337,-5.843180918404454,-35.19767501750481,-5.843304793192322,-35.197691059265686,-5.843881449348148,-35.19775271907598,-5.843881197139379,-35.19775499290448,0.0002530828068478982
